,time,text,deaths,death_score,injuries,injury_score
0,2021-10-07T18:23:49.000Z,"Powerful #earthquake rocks #tokyo #japan; 1 person injured, no major damage reported. \n@amritabhinder 😯\n#news #ABC https://t.co/LoplMEtYqY",-1,4.258444459992461e-05,1,0.6795140504837036
1,2021-09-08T15:12:19.000Z,One dead from a 7.4 #earthquake near #PuebloMadero #Mexico and felt for miles. My condolences to the family. I hope there are no more casualties. #snapmap https://t.co/0wgTBVtXTf,1,0.14434799551963806,1,0.0034119889605790377
2,2021-08-19T15:39:15.000Z,"#Haiti earthquake death toll rises to 2,189, over 12,000 injured &amp; more than 1.2m people impacted by disaster that struck the country last weekend https://t.co/o4JB3GpMT3",2189,0.9324333667755127,12000,0.5554928779602051
3,2021-08-18T08:51:32.000Z,"The Death Toll From #Haiti's #Earthquake Rises By 500 To 1,941\n\nhttps://t.co/yB0lrzir8y",1941,0.4565750062465668,1941,0.013404701836407185
4,2021-08-18T04:31:03.000Z,"#Haiti #earthquake: Death toll reaches nearly 2,000\nhttps://t.co/Q44tkr6uiD",2000,0.6145854592323303,2000,0.00018252000154461712
5,2021-08-17T14:43:01.000Z,"As earthquake death toll climbs in #Haiti, affected regions remain inaccessible by road, but that hasn't stopped our teams from delivering vital aid. Humanity &amp; Inclusion already has a fleet of 10 boats serving the hardest-hit region by sea.\n\nRead more: https://t.co/VBEkJVFfVy",-1,0.0017312894342467189,10,0.0008894846541807055
6,2021-08-17T04:54:43.000Z,"Whilst our team assesses needs in #Haiti the latest from the ground is &gt;1,400 deaths, &gt;6,900 injured and tens of thousands displaced as &gt;45,000 homes are destroyed or badly damaged from the recent #earthquake",1400,0.9084495902061462,6900,0.927606463432312
7,2021-08-16T17:29:38.000Z,"@NJGuy4Biden @GOP Or close to home humanitarian news-Death toll of powerful earthquake in Haiti soars to 1,297-",1297,0.6865153908729553,1297,0.10728153586387634
8,2021-08-16T01:38:22.000Z,"Death toll of powerful #Haiti earthquake soars over 1,200",1200,0.7200279235839844,1200,0.07016932964324951
9,2021-08-15T22:50:45.000Z,I’ve learned that 5 people who worship at LoganFirst #umc have family in Haiti impacted by earthquake.  Some injuries and destroyed homes (no deaths we know of at this time).  Please pray.  We will collect a special love offering,-1,0.0486406572163105,5,0.031256578862667084
10,2021-08-15T20:37:36.000Z,#Earthquake in #HAITI\nhttps://t.co/glN5yUwkiF\n\nPORT-AU-PRINCE (Reuters) -  The death toll from a devastating earthquake in Haiti rose to 724 on Sunday as rescue workers scrambled to find survivors buried un...,724,0.9765985608100891,724,0.026468930765986443
11,2021-08-15T16:23:51.000Z,"Gosh, another huge earthquake / tsunami in Haiti. \n\nDeath toll over 700.\n\n#PrayForHaiti 🙏🏻",700,0.5041226148605347,700,0.4578661322593689
12,2021-08-15T04:50:16.000Z,Earthquake of 7.2 magnitude hits #Haiti. Devastating and tragic news. 300 feared death and massive damages to infrastructure. #HaitiQuake 😭 https://t.co/fkLwEHAjYT,300,0.6062765121459961,300,0.015797099098563194
13,2021-08-14T19:50:12.000Z,DEVELOPING: At least 227 people confirmed dead after 7.2M #earthquake rocks Haiti; death toll expected to rise. #BREAKING,227,0.634055495262146,227,0.0009288793662562966
14,2021-08-14T19:04:33.000Z,JUST IN: Haiti #earthquake Death Toll rises to 29.,29,0.8311910033226013,29,0.3340000808238983
15,2021-08-14T16:51:31.000Z,A lot of damage in Okay. So far 29 reported deaths. #haitiearthquake #tranbleman #lescayes #ayiti #haiti https://t.co/ZPTHugLeD3,29,0.8709712624549866,29,0.000555032747797668
16,2021-08-14T15:45:17.000Z,Haiti Update. Earthquake there this morning. Heart@from House of Hope. It didn’t hit hard in the Port Au Prince area. They were scared but not hurt and no notable damage. Unfortunately in Western (southwest)Haiti it was about 7.2. Pray for the people of that area.,72,0.08745691180229187,72,0.13913758099079132
